,peak_time,mean_peak,sd_peak,mean_ss,sd_ss,promoter,filename,condition,pipette resist,seal resist,notes on raw data,notes on analyzed graph,,
0,5383.2,54.2606558,0.828253116,53.84113697,0.609465468,WT,20220210_N2A_WT10_pos_analyzed.csv,pos,3.87,1.97,,,,
1,5382.9,53.09327064,0.843926176,52.76955774,0.567646287,WT,20220210_N2A_WT10_pos_analyzed.csv,pos,3.87,1.97,,,,
2,5113.3,52.3268606,0.797504434,51.6300508,0.598198608,WT,20220210_N2A_WT10_pos_analyzed.csv,pos,3.87,1.97,,,,
3,5315,53.64642355,0.709310377,52.08985608,0.681380206,WT,20220210_N2A_WT10_pos_analyzed.csv,pos,3.87,1.97,,,,
4,5137.9,56.21610704,0.845134748,53.46547571,1.035797688,WT,20220210_N2A_WT10_pos_analyzed.csv,pos,3.87,1.97,,,,
0,5117.5,81.08121786,1.382615581,76.7060985,1.135788052,WT,20220210_N2A_WT11_pos_analyzed.csv,pos,4.2,1.21,,,,
1,5191.1,79.85627079,1.530879045,74.68993798,1.140789208,WT,20220210_N2A_WT11_pos_analyzed.csv,pos,4.2,1.21,,,,
2,5107.2,75.9609676,0.810182244,70.8019566,0.872391619,WT,20220210_N2A_WT11_pos_analyzed.csv,pos,4.2,1.21,,,,
3,5160.6,75.47946749,1.668737283,73.48297337,0.939797191,WT,20220210_N2A_WT11_pos_analyzed.csv,pos,4.2,1.21,,,,
4,5307.5,73.40448934,1.783734685,70.6988788,1.098230207,WT,20220210_N2A_WT11_pos_analyzed.csv,pos,4.2,1.21,,,,
0,5296.7,95.59442142,2.06695482,93.38684407,1.210839628,WT,20220210_N2A_WT5_pos_analyzed.csv,pos,3.16,1.46,noisey in baseline,,,
1,5121.2,94.30490202,1.553227069,92.3892601,1.109350437,WT,20220210_N2A_WT5_pos_analyzed.csv,pos,3.16,1.46,noisey in baseline,,,
2,5305.7,97.4790248,2.564239172,91.43050054,1.155209354,WT,20220210_N2A_WT5_pos_analyzed.csv,pos,3.16,1.46,noisey in baseline,,,
3,5390.3,92.98355606,1.249634582,90.31984889,1.183336498,WT,20220210_N2A_WT5_pos_analyzed.csv,pos,3.16,1.46,noisey in baseline,,,
4,5347.8,88.8783016,1.742048222,87.79811269,1.221240385,WT,20220210_N2A_WT5_pos_analyzed.csv,pos,3.16,1.46,noisey in baseline,,,
0,5319.5,82.21049118,1.694454607,78.92272526,1.369150461,WT,20220210_N2A_WT2_pos_analyzed.csv,pos,3.09,1.68,,,,
1,5339.7,84.50010528,1.880454747,78.590696,1.276432159,WT,20220210_N2A_WT2_pos_analyzed.csv,pos,3.09,1.68,,,,
2,5320.4,76.85925659,2.039890406,74.22732955,1.446275137,WT,20220210_N2A_WT2_pos_analyzed.csv,pos,3.09,1.68,,,,
3,5332.4,76.23485877,0.889019014,72.16195516,1.77920856,WT,20220210_N2A_WT2_pos_analyzed.csv,pos,3.09,1.68,,,,
4,5153.9,72.33529863,2.430828309,70.90055136,1.462539771,WT,20220210_N2A_WT2_pos_analyzed.csv,pos,3.09,1.68,,,,
0,5359.8,55.77007945,1.049322688,55.45945141,0.555347017,WT,20220210_N2A_WT3_pos_analyzed.csv,pos,5.74,1.68,baseline seemed to shift?,,,
1,5359.4,53.07532325,1.095354374,52.07598586,0.581821446,WT,20220210_N2A_WT3_pos_analyzed.csv,pos,5.74,1.68,baseline seemed to shift?,,,
2,5344.9,49.84622572,1.101408599,49.10735485,0.771977897,WT,20220210_N2A_WT3_pos_analyzed.csv,pos,5.74,1.68,baseline seemed to shift?,,,
3,5273.3,45.46592664,0.777472927,44.96166266,0.511273209,WT,20220210_N2A_WT3_pos_analyzed.csv,pos,5.74,1.68,baseline seemed to shift?,,,
4,5314.1,44.82651353,0.710950828,43.37135974,0.557557889,WT,20220210_N2A_WT3_pos_analyzed.csv,pos,5.74,1.68,baseline seemed to shift?,,,
0,5320.7,84.70459111,0.797503362,83.78766156,0.612905825,WT,20220210_N2A_WT4_pos_analyzed.csv,pos,6.36,1.38,baseline seemed to shift?,,,
1,5300.4,77.35017976,0.97544555,76.8404632,0.61067601,WT,20220210_N2A_WT4_pos_analyzed.csv,pos,6.36,1.38,baseline seemed to shift?,,,
2,5377.3,74.2574391,1.088375309,73.98856088,0.559946026,WT,20220210_N2A_WT4_pos_analyzed.csv,pos,6.36,1.38,baseline seemed to shift?,,,
3,5364,71.58886858,1.166883626,71.31235659,0.589495581,WT,20220210_N2A_WT4_pos_analyzed.csv,pos,6.36,1.38,baseline seemed to shift?,,,
4,5381.8,71.91010824,0.677603985,71.03196936,0.650241557,WT,20220210_N2A_WT4_pos_analyzed.csv,pos,6.36,1.38,baseline seemed to shift?,,,
0,5125.4,37.50886583,0.384372892,31.78686047,0.529783073,WT,20220210_N2A_WT1_pos_analyzed.csv,pos,5.95,1.88,,,,
1,5397.7,34.49485963,0.784928028,29.97377273,0.620824868,WT,20220210_N2A_WT1_pos_analyzed.csv,pos,5.95,1.88,,,,
2,5397.9,32.92218515,0.616311645,28.51263776,0.663288498,WT,20220210_N2A_WT1_pos_analyzed.csv,pos,5.95,1.88,,,,
3,5397.7,29.25386225,0.478327287,24.68588528,0.634206372,WT,20220210_N2A_WT1_pos_analyzed.csv,pos,5.95,1.88,,,,
4,5397.8,30.55572771,0.843063443,24.69227347,0.832793211,WT,20220210_N2A_WT1_pos_analyzed.csv,pos,5.95,1.88,,,,
0,5379.4,44.11815463,0.924349563,44.24807651,0.497466364,WT,20220210_N2A_WT6_pos_analyzed.csv,pos,3.26,1.36,,,,
1,5374.4,41.32321591,0.954114878,41.50205296,0.524818499,WT,20220210_N2A_WT6_pos_analyzed.csv,pos,3.26,1.36,,,,
2,5399.6,40.48851707,0.798172469,40.29565975,0.490704684,WT,20220210_N2A_WT6_pos_analyzed.csv,pos,3.26,1.36,,,,
3,5396.2,45.69339879,0.860894053,43.34530703,0.976336229,WT,20220210_N2A_WT6_pos_analyzed.csv,pos,3.26,1.36,,,,
4,5373.5,46.15808091,1.025415597,45.61253469,0.737939385,WT,20220210_N2A_WT6_pos_analyzed.csv,pos,3.26,1.36,,,,
0,5181.6,93.50247402,1.476658176,92.29080633,1.080442594,WT,20220210_N2A_WT7_pos_analyzed.csv,pos,3.4,1.35,baseline seemed to shift?,,,
1,5366.5,87.74769727,1.470628061,86.68121858,1.078302825,WT,20220210_N2A_WT7_pos_analyzed.csv,pos,3.4,1.35,baseline seemed to shift?,,,
2,5267.3,85.77329921,1.50575308,85.08209675,1.039283193,WT,20220210_N2A_WT7_pos_analyzed.csv,pos,3.4,1.35,baseline seemed to shift?,,,
3,5326.5,86.01630169,1.78073806,83.36443562,1.159033476,WT,20220210_N2A_WT7_pos_analyzed.csv,pos,3.4,1.35,baseline seemed to shift?,,,
4,5364.4,80.95495849,1.376069932,79.41054213,0.908993074,WT,20220210_N2A_WT7_pos_analyzed.csv,pos,3.4,1.35,baseline seemed to shift?,,,
0,5103.8,162.3567511,2.682573011,82.60167912,1.418237699,PGK,20220128_N2A_mp1_PGK3_pos_analyzed.csv,pos,4.04,1.3,small noise in baseline,,,
1,5104.2,162.7848489,2.049508503,83.18462255,1.035000368,PGK,20220128_N2A_mp1_PGK3_pos_analyzed.csv,pos,4.04,1.3,small noise in baseline,,,
2,5104.7,153.4594903,1.823186148,83.44106419,1.026056411,PGK,20220128_N2A_mp1_PGK3_pos_analyzed.csv,pos,4.04,1.3,small noise in baseline,,,
3,5104.7,156.5551857,1.862747979,85.03471838,1.111807046,PGK,20220128_N2A_mp1_PGK3_pos_analyzed.csv,pos,4.04,1.3,small noise in baseline,,,
4,5105.7,150.4737069,2.087934874,85.70371109,2.836693886,PGK,20220128_N2A_mp1_PGK3_pos_analyzed.csv,pos,4.04,1.3,small noise in baseline,,,
0,5374,79.21538788,1.546965935,78.45455135,0.928842367,PGK,20220128_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.52,1.47,,,,
1,5190.4,84.20038849,1.019719836,76.50977331,1.019976797,PGK,20220128_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.52,1.47,,,,
2,5173.7,81.32343757,0.76367764,68.26537692,0.965603012,PGK,20220128_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.52,1.47,,,,
3,5180.5,83.99363,2.445677805,72.73702416,0.930902333,PGK,20220128_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.52,1.47,,,,
4,5177,86.65275038,1.253745245,72.6090599,1.097376624,PGK,20220128_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.52,1.47,,,,
0,5110.5,56.34500234,1.264346822,51.37448695,1.020659948,PGK,20220128_N2A_mp1_PGK1_pos_analyzed.csv,pos,4.12,1.56,noisey in baseline,,,
1,5109.1,55.00468669,1.230180252,50.97555829,0.938112996,PGK,20220128_N2A_mp1_PGK1_pos_analyzed.csv,pos,4.12,1.56,noisey in baseline,,,
2,5111.2,52.89789469,1.149915354,48.29486729,0.696576698,PGK,20220128_N2A_mp1_PGK1_pos_analyzed.csv,pos,4.12,1.56,noisey in baseline,,,
3,5114.3,52.764423,1.534047228,47.6549506,0.847278169,PGK,20220128_N2A_mp1_PGK1_pos_analyzed.csv,pos,4.12,1.56,noisey in baseline,,,
4,5114.5,52.75419447,1.002680162,49.58856161,1.087812154,PGK,20220128_N2A_mp1_PGK1_pos_analyzed.csv,pos,4.12,1.56,noisey in baseline,,,
0,5106.2,180.0753859,2.999702885,88.70369786,1.93643692,PGK,20220126_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.3,1.84,,,,
1,5106.3,179.5957654,1.820626395,89.71630788,1.251980153,PGK,20220126_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.3,1.84,,,,
2,5107.3,162.7187633,2.448337018,88.02362452,1.278588156,PGK,20220126_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.3,1.84,,,,
3,5107,149.6186215,2.388330173,93.71570062,1.012799089,PGK,20220126_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.3,1.84,,,,
4,5108.3,138.3994187,0.612676467,93.96294355,1.623734135,PGK,20220126_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.3,1.84,,,,
0,5236,66.29705505,1.122144274,61.99748973,1.72938641,CMV,20220126_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.34,2.45,little noisey baseline,no distinct peak,,
1,5395.8,62.04621933,1.35621008,59.76635893,1.455109449,CMV,20220126_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.34,2.45,little noisey baseline,no distinct peak,,
2,5247.5,66.65503396,0.736435741,57.84995982,2.367678638,CMV,20220126_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.34,2.45,little noisey baseline,no distinct peak,,
3,5327.6,67.3617771,1.196700268,60.9428061,2.171771896,CMV,20220126_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.34,2.45,little noisey baseline,no distinct peak,,
4,5374.9,58.34669218,0.887653138,55.06546978,1.25089229,CMV,20220126_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.34,2.45,little noisey baseline,no distinct peak,,
0,5113.4,113.3593306,1.91769423,94.6808349,1.337562242,PGK,20220126_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.14,1.32,little noisey baseline,,,
1,5114.8,98.13047557,1.188317585,88.82627864,1.228685577,PGK,20220126_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.14,1.32,little noisey baseline,,,
2,5115.7,96.97626947,1.77937674,86.77539418,1.156098344,PGK,20220126_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.14,1.32,little noisey baseline,,,
3,5159.6,92.96374458,0.951262434,84.10134346,1.172083621,PGK,20220126_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.14,1.32,little noisey baseline,,,
4,5181.2,101.4005925,1.398671567,92.31526706,1.443462077,PGK,20220126_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.14,1.32,little noisey baseline,,,
0,5106.5,158.907355,3.589844217,106.4861475,1.064067343,CMV,20220126_N2A_mp1_CMV3_pos_analyzed.csv,pos,4.08,2.09,,,,
1,5109,139.9723929,1.452631129,108.8801484,2.302190889,CMV,20220126_N2A_mp1_CMV3_pos_analyzed.csv,pos,4.08,2.09,,,,
2,5109.7,140.6024131,3.914276507,106.2146126,1.330900695,CMV,20220126_N2A_mp1_CMV3_pos_analyzed.csv,pos,4.08,2.09,,,,
3,5113.5,131.5012349,1.594396938,108.0785716,1.240942206,CMV,20220126_N2A_mp1_CMV3_pos_analyzed.csv,pos,4.08,2.09,,,,
4,5116.4,124.6719377,2.085027625,108.5032342,1.284765508,CMV,20220126_N2A_mp1_CMV3_pos_analyzed.csv,pos,4.08,2.09,,,,
0,5106.4,176.7235723,2.111166807,76.55475593,2.941913297,CMV,20220126_N2A_mp1_CMV2_pos_analyzed.csv,pos,2.79,1.68,,,,
1,5107.8,185.6300708,2.208208191,79.81480169,0.929208759,CMV,20220126_N2A_mp1_CMV2_pos_analyzed.csv,pos,2.79,1.68,,,,
2,5108.7,195.1173632,2.567664732,73.65868546,1.363465647,CMV,20220126_N2A_mp1_CMV2_pos_analyzed.csv,pos,2.79,1.68,,,,
3,5109.2,194.3550363,1.56161312,80.98655321,1.131187271,CMV,20220126_N2A_mp1_CMV2_pos_analyzed.csv,pos,2.79,1.68,,,,
4,5109.9,180.8136625,2.614712134,79.39875197,1.769966274,CMV,20220126_N2A_mp1_CMV2_pos_analyzed.csv,pos,2.79,1.68,,,,
0,5382.6,99.58463034,0.932712679,98.67362107,0.699996509,PGK,20220127_N2A_mp1_PGK3_pos_analyzed.csv,pos,3.52,1.46,very noisey,no distinct peak,,
1,5363.3,129.9692029,5.847609094,114.0844892,5.052822971,PGK,20220127_N2A_mp1_PGK3_pos_analyzed.csv,pos,3.52,1.46,very noisey,no distinct peak,,
2,5396.2,123.4468766,3.095700624,111.3654093,1.888315904,PGK,20220127_N2A_mp1_PGK3_pos_analyzed.csv,pos,3.52,1.46,very noisey,no distinct peak,,
3,5382.8,134.391039,3.792539085,124.013352,5.864146881,PGK,20220127_N2A_mp1_PGK3_pos_analyzed.csv,pos,3.52,1.46,very noisey,no distinct peak,,
4,5309.5,171.0976066,6.518232114,137.5888809,5.140561009,PGK,20220127_N2A_mp1_PGK3_pos_analyzed.csv,pos,3.52,1.46,very noisey,no distinct peak,,
0,5126.7,285.7012514,2.960634038,248.573252,3.141518368,PGK,20220127_N2A_mp1_PGK2_pos_analyzed.csv,pos,4.22,2.92,,,,
1,5136.9,267.061595,3.732101465,246.2233514,3.076353881,PGK,20220127_N2A_mp1_PGK2_pos_analyzed.csv,pos,4.22,2.92,,,,
2,5123.8,286.3545459,3.467502881,259.498304,3.15180739,PGK,20220127_N2A_mp1_PGK2_pos_analyzed.csv,pos,4.22,2.92,,,,
3,5123.1,278.0590227,5.015865846,253.7258211,3.162417831,PGK,20220127_N2A_mp1_PGK2_pos_analyzed.csv,pos,4.22,2.92,,,,
4,5123.1,281.3416109,2.411908395,244.7938978,3.556831164,PGK,20220127_N2A_mp1_PGK2_pos_analyzed.csv,pos,4.22,2.92,,,,
0,5108,119.0024587,1.321407523,87.1017083,2.201780824,CMV,20220127_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.24,1.37,,,,
1,5105.5,114.1591194,1.580332385,90.74035191,1.912201399,CMV,20220127_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.24,1.37,,,,
2,5106.8,111.2209471,1.868910599,88.87925136,1.645381924,CMV,20220127_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.24,1.37,,,,
3,5108.8,108.2750099,2.157512277,91.65313826,1.536677102,CMV,20220127_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.24,1.37,,,,
4,5107.8,105.9049605,1.927463176,86.54289471,1.418544065,CMV,20220127_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.24,1.37,,,,
0,5209.3,130.4131635,2.42875049,123.9191075,1.683417561,PGK,20220127_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.74,1.72,noisey baseline,no distinct peak,,
1,5152.1,130.548383,1.041289647,122.4195546,1.96071155,PGK,20220127_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.74,1.72,noisey baseline,no distinct peak,,
2,5205.2,134.3743124,1.845676528,127.8553284,1.789930281,PGK,20220127_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.74,1.72,noisey baseline,no distinct peak,,
3,5160.1,131.9587431,1.117289125,126.2688327,1.826101806,PGK,20220127_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.74,1.72,noisey baseline,no distinct peak,,
4,5260.2,128.2421153,2.522466377,121.4466213,2.199851159,PGK,20220127_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.74,1.72,noisey baseline,no distinct peak,,
0,5385.5,113.8187032,2.844874393,110.3013164,2.274986564,CMV,20220127_N2A_mp1_CMV4_pos_analyzed.csv,pos,3.14,2.07,,no distinct peak,,
1,5259.9,117.1920942,3.490572617,107.4241352,2.113655235,CMV,20220127_N2A_mp1_CMV4_pos_analyzed.csv,pos,3.14,2.07,,no distinct peak,,
2,5233.5,112.3539813,1.777190047,104.0614269,2.153211968,CMV,20220127_N2A_mp1_CMV4_pos_analyzed.csv,pos,3.14,2.07,,no distinct peak,,
3,5205.9,115.5518078,2.80207288,108.07103,1.977913642,CMV,20220127_N2A_mp1_CMV4_pos_analyzed.csv,pos,3.14,2.07,,no distinct peak,,
4,5233.3,114.2026915,2.141343983,110.2054954,2.305576618,CMV,20220127_N2A_mp1_CMV4_pos_analyzed.csv,pos,3.14,2.07,,no distinct peak,,
0,5107.7,114.4557645,1.979221046,100.7409301,1.553097813,CMV,20220127_N2A_mp1_CMV3_pos_analyzed.csv,pos,4.21,1.75,,no distinct peak,,
1,5160.8,109.416867,1.338195992,102.0509012,2.027445334,CMV,20220127_N2A_mp1_CMV3_pos_analyzed.csv,pos,4.21,1.75,,no distinct peak,,
